Group,Lower Age,Upper Age,Nutrient No.,Value,Upper Limit
Pregnancy,31,50,303,27,45
Lactation,14,18,303,10,45
Lactation,19,30,303,9,45
Lactation,31,50,303,9,45
Infants,0,0.5,304,30,
Infants,0.5,1,304,75,
Children,1,3,304,80,65
Children,4,8,304,130,110
Males,9,13,304,240,350
Males,14,18,304,410,350
Males,19,30,304,400,350
Males,31,50,304,420,350
Males,51,70,304,420,350
Males,71,120,304,420,350
Females,9,13,304,240,350
Females,14,18,304,360,350
Females,19,30,304,310,350
Females,31,50,304,320,350
Females,51,70,304,320,350
Females,71,120,304,320,350
Pregnancy,14,18,304,400,350
Pregnancy,19,30,304,350,350
Pregnancy,31,50,304,360,350
Lactation,14,18,304,360,350
Lactation,19,30,304,310,350
Lactation,31,50,304,320,350
Infants,0,0.5,305,100,
Infants,0.5,1,305,275,
Children,1,3,305,460,3
Children,4,8,305,500,3
Males,9,13,305,1250,4
Males,14,18,305,1250,4
Males,19,30,305,700,4
Males,31,50,305,700,4
Males,51,70,305,700,4
Males,71,120,305,700,3
Females,9,13,305,1250,4
Females,14,18,305,1250,4
Females,19,30,305,700,4
Females,31,50,305,700,4
Females,51,70,305,700,4
Females,71,120,305,700,3
Pregnancy,14,18,305,1250,3.5
Pregnancy,19,30,305,700,3.5
Pregnancy,31,50,305,700,3.5
Lactation,14,18,305,1250,4
Lactation,19,30,305,700,4
Lactation,31,50,305,700,4
Infants,0,0.5,317,15,45
Infants,0.5,1,317,15,60
Children,1,3,317,15,90
Children,4,8,317,15,150
Males,9,13,317,15,280
Males,14,18,317,15,400
Males,19,30,317,15,400
Males,31,50,317,15,400
Males,51,70,317,15,400
Males,71,120,317,15,400
Females,9,13,317,15,280
Females,14,18,317,15,400
Females,19,30,317,15,400
Females,31,50,317,15,400
Females,51,70,317,15,400
Females,71,120,317,15,400
Pregnancy,14,18,317,15,400
Pregnancy,19,30,317,15,400
Pregnancy,31,50,317,15,400
Lactation,14,18,317,15,400
Lactation,19,30,317,15,400
Lactation,31,50,317,15,400
Infants,0,0.5,309,2,4
Infants,0.5,1,309,3,5
Children,1,3,309,3,7
Children,4,8,309,5,12
Males,9,13,309,8,23
Males,14,18,309,11,34
Males,19,30,309,11,40
Males,31,50,309,11,40
Males,51,70,309,11,40
Males,71,120,309,11,40
Females,9,13,309,8,23
Females,14,18,309,9,34
Females,19,30,309,8,40
Females,31,50,309,8,40
Females,51,70,309,8,40
Females,71,120,309,8,40
Pregnancy,14,18,309,12,34
Pregnancy,19,30,309,11,40
Pregnancy,31,50,309,11,40
Lactation,14,18,309,13,34
Lactation,19,30,309,12,40
Lactation,31,50,309,12,40
Infants,0,0.5,306,400,
Infants,0.5,1,306,700,
Children,1,3,306,3000,
Children,4,8,306,3800,
Males,9,13,306,4500,
Males,14,18,306,4700,
Males,19,30,306,4700,
Males,31,50,306,4700,
Males,51,70,306,4700,
Males,71,120,306,4700,
Females,9,13,306,4500,
Females,14,18,306,4700,
Females,19,30,306,4700,
Females,31,50,306,4700,
Females,51,70,306,4700,
